show_id,name,type,language,genres,status,runtime,average_runtime,premiered,ended,official_site,rating_average,network_name,country_name,country_code,summary,premiere_year,premiere_month,is_ended,show_age,genre_count,summary_word_count,summary_character_count,sentence_count,average_sentence_length,average_word_length,summary_keywords,sentiment_score,sentiment_label,summary_topic,episode_count,episode_count_category,rating_category,content_cluster,pca_component_1,pca_component_2
1,Under the Dome,Scripted,English,"Drama, Science-Fiction, Thriller",Ended,60.0,60.0,2013-06-24,2015-09-10,http://www.cbs.com/shows/under-the-dome/,6.6,CBS,United States,US,"Under the Dome is the story of a small town that is suddenly and inexplicably sealed off from the rest of the world by an enormous transparent dome. The town's inhabitants must deal with surviving the post-apocalyptic conditions while searching for answers about the dome, where it came from and if and when it will go away.",2013,6,True,13,3,57,324,2,28.5,4.46,"dome, town, must, came, answers",-0.2125,Negative,3,39,Medium,Medium,1,0.06024714652244295,0.8444737577832343
2,Person of Interest,Scripted,English,"Action, Crime, Science-Fiction",Ended,60.0,60.0,2011-09-22,2016-06-21,http://www.cbs.com/shows/person_of_interest/,8.8,CBS,United States,US,"You are being watched. The government has a secret system, a machine that spies on you every hour of every day. I know because I built it. I designed the Machine to detect acts of terror but it sees everything. Violent crimes involving ordinary people. People like you. Crimes the government considered ""irrelevant"". They wouldn't act so I decided I would. But I needed a partner. Someone with the skills to intervene. Hunted by the authorities, we work in secret. You'll never find us. But victim or perpetrator, if your number is up, we'll find you.",2011,9,True,15,3,96,551,13,7.38,4.38,"secret, people, machine, government, every",-0.40416666666666673,Negative,2,103,Long,High,2,0.9628208452226361,0.6562385107527133
3,Bitten,Scripted,English,"Drama, Horror, Romance",Ended,60.0,60.0,2014-01-11,2016-04-15,http://bitten.space.ca/,7.4,CTV Sci-Fi Channel,Canada,CA,"Based on the critically acclaimed series of novels from Kelley Armstrong. Set in Toronto and upper New York State, Bitten follows the adventures of 28-year-old Elena Michaels, the world's only female werewolf. An orphan, Elena thought she finally found her ""happily ever after"" with her new love Clayton, until her life changed forever. With one small bite, the normal life she craved was taken away and she was left to survive life with the Pack.",2014,1,True,12,3,75,447,4,18.75,4.64,"life, elena, based, thought, found",0.12272727272727273,Positive,4,33,Medium,High,2,0.5463092650323351,0.6553365089025748
4,Arrow,Scripted,English,"Drama, Action, Science-Fiction",Ended,60.0,60.0,2012-10-10,2020-01-28,Not Available,7.4,The CW,United States,US,"After a violent shipwreck, billionaire playboy Oliver Queen was missing and presumed dead for five years before being discovered alive on a remote island in the Pacific. He returned home to Starling City, welcomed by his devoted mother Moira, beloved sister Thea and former flame Laurel Lance. With the aid of his trusted chauffeur/bodyguard John Diggle, the computer-hacking skills of Felicity Smoak and the occasional, reluctant assistance of former police detective, now beat cop, Quentin Lance, Oliver has been waging a one-man war on crime.",2012,10,True,14,3,85,545,3,28.33,5.08,"former, oliver, lance, skills, flame",-0.05555555555555555,Negative,2,170,Long,High,2,0.7175266305808513,0.5301287926208101
5,True Detective,Scripted,English,"Drama, Crime, Thriller",Running,60.0,63.0,2014-01-12,,https://www.max.com/shows/true-detective/9a4a3645-74e0-4e4d-9f35-31464b402357,8.1,HBO,United States,US,Touch darkness and darkness touches you back. True Detective centers on troubled cops and the investigations that drive them to the edge. Each season features a new cast and a new case.True Detective is an American anthology crime drama television series created and written by Nic Pizzolatto. ,2014,1,False,12,3,47,294,4,12.0,5.06,"true, detective, darkness, touch, cast",0.020454545454545447,Neutral,2,30,Medium,High,2,0.10623958442641429,1.2684895497356388
6,The 100,Scripted,English,"Action, Adventure, Science-Fiction",Ended,60.0,60.0,2014-03-19,2020-09-30,Not Available,7.7,The CW,United States,US,"Ninety-seven years ago, nuclear Armageddon decimated planet Earth, destroying civilization. The only survivors were the 400 inhabitants of 12 international space stations that were in orbit at the time. Three generations have been born in space, the survivors now number 4,000, and resources are running out on their dying ""Ark"" - the 12 stations now linked together and repurposed to keep the survivors alive. Draconian measures including capital punishment and population control are the order of the day, as the leaders of the Ark take ruthless steps to ensure their future, including secretly exiling a group of 100 juvenile prisoners to the Earth's surface to test whether it's habitable.",2014,3,True,12,3,109,693,4,27.25,5.23,"survivors, stations, including, earth, space",-0.21875,Negative,3,100,Long,High,2,1.3244233132483856,0.1468306732058037
7,Homeland,Scripted,English,"Drama, Thriller, Espionage",Ended,60.0,60.0,2011-10-02,2020-04-26,http://www.sho.com/sho/homeland/home,8.2,Paramount+ with Showtime,United States,US,"The winner of 6 Emmy Awards including Outstanding Drama Series, Homeland is an edge-of-your-seat sensation. Marine Sergeant Nicholas Brody is both a decorated hero and a serious threat. CIA officer Carrie Mathison is tops in her field despite being bipolar. The delicate dance these two complex characters perform, built on lies, suspicion, and desire, is at the heart of this gripping, emotional thriller in which nothing short of the fate of our nation is at stake.",2011,10,True,15,3,76,467,4,19.0,4.85,"winner, emmy, despite, bipolar, delicate",0.00952380952380953,Neutral,1,96,Long,High,2,0.564100699265746,0.8207338440540656
8,Glee,Scripted,English,"Drama, Music, Romance",Ended,60.0,60.0,2009-05-19,2015-03-20,http://www.fox.com/glee,6.6,FOX,United States,US,"Glee is a musical comedy about a group of ambitious and talented young adults in search of strength, acceptance and, ultimately, their voice.",2009,5,True,17,3,23,141,1,23.0,5.0,"glee, musical, comedy, group, ambitious",0.21000000000000002,Positive,1,121,Long,Medium,1,-0.7339282201159494,1.4360162406069947
9,Revenge,Scripted,English,"Drama, Thriller, Mystery",Ended,60.0,60.0,2011-09-21,2015-05-10,Not Available,7.7,ABC,United States,US,"This is not a story about forgiveness; Revenge is a show about retribution. Meet Emily Thorne, the newest resident of The Hamptons. When she was a little girl (and known as Amanda Clarke) her father, David Clarke, was framed for a horrific crime and subsequently sent to prison. While serving his time, the conspirators plotted and murdered David in order to prevent the truth from coming out. Emily is now back with a new identity and ready to take vengeance on the people that murdered her father and stole her childhood.",2011,9,True,15,3,91,523,5,18.2,4.63,"david, emily, father, clarke, murdered",-0.14185606060606062,Negative,4,89,Long,High,2,0.7867471032401039,0.552724576408108
10,Grimm,Scripted,English,"Drama, Crime, Supernatural",Ended,60.0,60.0,2011-10-28,2017-03-31,http://www.nbc.com/grimm,8.4,NBC,United States,US,"Grimm is a drama series inspired by the classic Grimm Brothers' Fairy Tales. After Portland homicide detective Nick Burkhardt discovers he's descended from an elite line of criminal profilers known as ""Grimms"", he increasingly finds his responsibilities as a detective at odds with his new responsibilities as a Grimm.",2011,10,True,15,3,49,318,2,24.5,5.26,"grimm, responsibilities, detective, discovers, finds",-0.03232323232323234,Neutral,2,123,Long,High,2,0.01947984226678832,1.258682230734907
