show_id,name,type,language,genres,status,runtime,average_runtime,premiered,ended,official_site,rating_average,network_name,country_name,country_code,summary
1,Under the Dome,Scripted,English,"Drama, Science-Fiction, Thriller",Ended,60.0,60.0,2013-06-24,2015-09-10,http://www.cbs.com/shows/under-the-dome/,6.6,CBS,United States,US,"<p><b>Under the Dome</b> is the story of a small town that is suddenly and inexplicably sealed off from the rest of the world by an enormous transparent dome. The town's inhabitants must deal with surviving the post-apocalyptic conditions while searching for answers about the dome, where it came from and if and when it will go away.</p>"
2,Person of Interest,Scripted,English,"Action, Crime, Science-Fiction",Ended,60.0,60.0,2011-09-22,2016-06-21,http://www.cbs.com/shows/person_of_interest/,8.8,CBS,United States,US,"<p>You are being watched. The government has a secret system, a machine that spies on you every hour of every day. I know because I built it. I designed the Machine to detect acts of terror but it sees everything. Violent crimes involving ordinary people. People like you. Crimes the government considered ""irrelevant"". They wouldn't act so I decided I would. But I needed a partner. Someone with the skills to intervene. Hunted by the authorities, we work in secret. You'll never find us. But victim or perpetrator, if your number is up, we'll find you.</p>"
3,Bitten,Scripted,English,"Drama, Horror, Romance",Ended,60.0,60.0,2014-01-11,2016-04-15,http://bitten.space.ca/,7.4,CTV Sci-Fi Channel,Canada,CA,"<p>Based on the critically acclaimed series of novels from Kelley Armstrong. Set in Toronto and upper New York State, <b>Bitten</b> follows the adventures of 28-year-old Elena Michaels, the world's only female werewolf. An orphan, Elena thought she finally found her ""happily ever after"" with her new love Clayton, until her life changed forever. With one small bite, the normal life she craved was taken away and she was left to survive life with the Pack.</p>"
4,Arrow,Scripted,English,"Drama, Action, Science-Fiction",Ended,60.0,60.0,2012-10-10,2020-01-28,,7.4,The CW,United States,US,"<p>After a violent shipwreck, billionaire playboy Oliver Queen was missing and presumed dead for five years before being discovered alive on a remote island in the Pacific. He returned home to Starling City, welcomed by his devoted mother Moira, beloved sister Thea and former flame Laurel Lance. With the aid of his trusted chauffeur/bodyguard John Diggle, the computer-hacking skills of Felicity Smoak and the occasional, reluctant assistance of former police detective, now beat cop, Quentin Lance, Oliver has been waging a one-man war on crime.</p>"
5,True Detective,Scripted,English,"Drama, Crime, Thriller",Running,60.0,63.0,2014-01-12,,https://www.max.com/shows/true-detective/9a4a3645-74e0-4e4d-9f35-31464b402357,8.1,HBO,United States,US,<p>Touch darkness and darkness touches you back. <b>True Detective</b> centers on troubled cops and the investigations that drive them to the edge. Each season features a new cast and a new case.</p><p><i><b>True Detective</b></i> is an American anthology crime drama television series created and written by Nic Pizzolatto. </p>
6,The 100,Scripted,English,"Action, Adventure, Science-Fiction",Ended,60.0,60.0,2014-03-19,2020-09-30,,7.7,The CW,United States,US,"<p>Ninety-seven years ago, nuclear Armageddon decimated planet Earth, destroying civilization. The only survivors were the 400 inhabitants of 12 international space stations that were in orbit at the time. Three generations have been born in space, the survivors now number 4,000, and resources are running out on their dying ""Ark"" - the 12 stations now linked together and repurposed to keep the survivors alive. Draconian measures including capital punishment and population control are the order of the day, as the leaders of the Ark take ruthless steps to ensure their future, including secretly exiling a group of 100 juvenile prisoners to the Earth's surface to test whether it's habitable.</p>"
7,Homeland,Scripted,English,"Drama, Thriller, Espionage",Ended,60.0,60.0,2011-10-02,2020-04-26,http://www.sho.com/sho/homeland/home,8.2,Paramount+ with Showtime,United States,US,"<p>The winner of 6 Emmy Awards including Outstanding Drama Series, <b>Homeland</b> is an edge-of-your-seat sensation. Marine Sergeant Nicholas Brody is both a decorated hero and a serious threat. CIA officer Carrie Mathison is tops in her field despite being bipolar. The delicate dance these two complex characters perform, built on lies, suspicion, and desire, is at the heart of this gripping, emotional thriller in which nothing short of the fate of our nation is at stake.</p>"
8,Glee,Scripted,English,"Drama, Music, Romance",Ended,60.0,60.0,2009-05-19,2015-03-20,http://www.fox.com/glee,6.6,FOX,United States,US,"<p><b>Glee </b>is a musical comedy about a group of ambitious and talented young adults in search of strength, acceptance and, ultimately, their voice.</p>"
9,Revenge,Scripted,English,"Drama, Thriller, Mystery",Ended,60.0,60.0,2011-09-21,2015-05-10,,7.7,ABC,United States,US,"<p>This is not a story about forgiveness; <b>Revenge</b> is a show about retribution. Meet Emily Thorne, the newest resident of The Hamptons. When she was a little girl (and known as Amanda Clarke) her father, David Clarke, was framed for a horrific crime and subsequently sent to prison. While serving his time, the conspirators plotted and murdered David in order to prevent the truth from coming out. Emily is now back with a new identity and ready to take vengeance on the people that murdered her father and stole her childhood.</p>"
10,Grimm,Scripted,English,"Drama, Crime, Supernatural",Ended,60.0,60.0,2011-10-28,2017-03-31,http://www.nbc.com/grimm,8.4,NBC,United States,US,"<p><b>Grimm </b>is a drama series inspired by the classic Grimm Brothers' Fairy Tales. After Portland homicide detective Nick Burkhardt discovers he's descended from an elite line of criminal profilers known as ""Grimms"", he increasingly finds his responsibilities as a detective at odds with his new responsibilities as a Grimm.</p>"
